"Order No.","Season","Account No.","Customer Name","Customer Order No.","Style No","Style Name","Color Code","Color Description","Barcode","Size","Qty (CU)","Currency","Wholesale Price","Total WSP Amount","Recommended Retail Price","RRP Currency","Brand","Sub-brand","Category","Sub-category","Type","Bill of material","Net Weight (kg)","Dimensions","Country (COO)","Customs Tariff No","Delivery window","Washing","Additional washing instructions","Cycle","Ironing","Drying","Drycleaning","Bleaching","Hardware care","Gender","Age grade","GOTS","GRS","OEKO-TEX No.","CE marked","CA marked","Package type","Packaging height (cm)","Packaging length (cm)","Packaging width (cm)"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502485","32","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.194","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","90","225","180"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502492","33","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.202","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","85","225","185"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502508","34","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.204","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","85","235","190"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502188","34","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.206","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","90","235","19"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502171","33","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.202","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","90","225","190"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502164","32","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.194","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","90","220","180"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502157","31","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.188","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","85","215","180"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502140","30","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.18","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","80","205","180"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502133","29","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.172","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","80","200","175"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502126","28","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.17","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","85","195","175"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502119","27","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.158","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","90","185","170"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502102","26","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.158","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","95","182","165"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502096","25","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.148","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","75","170","160"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502089","24","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.14","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","75","165","160"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502072","23","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.142","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","75","160","160"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2124","Classic navy multi mix","5715493502065","22","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.132","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","70","155","150"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2695","Peppermint multi mix","5715493502294","29","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.168","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","80","200","175"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","1031","Riverside","5715493505509","55","3","EUR","10.8","32.4","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.1","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","75","175","165"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","1041","Tuscany rose / Pale tuscany","5715493450052","55","4","EUR","10.8","43.2","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.105","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","85","220","190"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","1041","Tuscany rose / Pale tuscany","5715493450045","53","4","EUR","10.8","43.2","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.102","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","85","220","190"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","2347","Dusty rose","5715493505530","53","4","EUR","10.8","43.2","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.102","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","85","220","190"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","2347","Dusty rose","5715493505547","55","2","EUR","10.8","21.6","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.096","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","90","250","220"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","2625","Riverside mix","5715493505615","53","4","EUR","10.8","43.2","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.098","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","70","165","160"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","2625","Riverside mix","5715493505622","55","4","EUR","10.8","43.2","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.105","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","85","220","190"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","2625","Riverside mix","5715493505608","51","4","EUR","10.8","43.2","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.094","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","85","220","190"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","2614","Mini Butterfly / Apple blossom","5715493505561","51","1","EUR","10.8","10.8","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.094","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","85","220","190"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","2347","Dusty rose","5715493505523","51","4","EUR","10.8","43.2","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.092","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","70","160","155"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17683","Danny Cap","1041","Tuscany rose / Pale tuscany","5715493450038","51","4","EUR","10.8","43.2","27","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic cotton","0.094","","China","6505003000","January 2026","Gentle wash at 30°C","Do not soak;Wash with similar colours;Do not use fabric softener;Do not tumble dry;","","Do not iron ","Hang dry","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","85","220","190"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17684","Amelia Anglaise Sun Hat","5060","Sandy","5715335241077","3/4 Y","4","EUR","12.4","49.6","31","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","SHELL: 100% Organic Cotton; LINING: 100% Organic Cotton","0.055","","India","6505009090","December 2025","Wash at or below 40°C","Wash with similar colours;Turn inside out for washing;Do not use fabric softener;Shrinkage up to 5% ;Hang dry;","","Iron at medium temperature","Do not tumble dry ","Do not dry clean","Do Not Bleach","","GIRL","N/A","CU1155405GOTS","","","No","No","Small hang tag","20","280","180"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17684","Amelia Anglaise Sun Hat","5060","Sandy","5715335241053","1/2 Y","4","EUR","12.4","49.6","31","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","SHELL: 100% Organic Cotton; LINING: 100% Organic Cotton","0.054","","India","6505009090","December 2025","Wash at or below 40°C","Wash with similar colours;Turn inside out for washing;Do not use fabric softener;Shrinkage up to 5% ;Hang dry;","","Iron at medium temperature","Do not tumble dry ","Do not dry clean","Do Not Bleach","","GIRL","N/A","CU1155405GOTS","","","No","No","Small hang tag","20","250","150"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17698","Gorm Reversible Sun Hat w Ears ","1989","Peach Seashell / Pale tuscany","5715493253585","9/12 M","4","EUR","11.6","46.4","29","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic Cotton","0.054","","India","6505009090","December 2025","Wash at or below 40°C","Wash with similar colours;Turn inside out for washing;Do not use fabric softener;Shrinkage up to 5% ;Hang dry;","","Iron at medium temperature","Do not tumble dry ","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","20","240","260"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17698","Gorm Reversible Sun Hat w Ears ","1989","Peach Seashell / Pale tuscany","5715493253592","1/2 Y","4","EUR","11.6","46.4","29","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic Cotton","0.056","","India","6505009090","December 2025","Wash at or below 40°C","Wash with similar colours;Turn inside out for washing;Do not use fabric softener;Shrinkage up to 5% ;Hang dry;","","Iron at medium temperature","Do not tumble dry ","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","20","260","280"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW17698","Gorm Reversible Sun Hat w Ears ","1989","Peach Seashell / Pale tuscany","5715493253608","3/4 Y","4","EUR","11.6","46.4","29","EUR","LIEWOOD","LIEWOOD WEAR","ACCESSORIES","ACCESSORIES","HATS/CAP","100% Organic Cotton","0.056","","India","6505009090","December 2025","Wash at or below 40°C","Wash with similar colours;Turn inside out for washing;Do not use fabric softener;Shrinkage up to 5% ;Hang dry;","","Iron at medium temperature","Do not tumble dry ","Do not dry clean","Do Not Bleach","","UNISEX","N/A","CU1155405GOTS","","","No","No","Small hang tag","20","260","300"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW18541","Kornelia Printed Pool Small","1835","Cherries / Apple blossom","5715493240479","ONE SIZE","4","EUR","24","96","60","EUR","LIEWOOD","LIEWOOD LIVING","PLAY TIME","PLAY TIME","POOLS","100% PVC","0.63","DIAMETER (CM) 85; HEIGHT (CM) 24","China","9503009900","February 2026","","","","","","","","","UNISEX","2y+","","","","Yes","Yes","Brown box w/ sticker","220","260","80"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW19588","Dove Swim Vest","1232","Peach / Sea shell","5715493369750","15-19 KG","2","EUR","20","40","50","EUR","LIEWOOD","LIEWOOD LIVING","PLAY TIME","PLAY TIME","SWIM VEST","82% Polyester, 18% Spandex","0.25","","China","9506290000","January 2026","Hand wash","Wash with similar colours;Close zipper, velcro and buttons before washing;Hang dry;","","Do not iron ","Do not tumble dry ","Do not dry clean","Do Not Bleach","","UNISEX","N/A","","","","Yes","Yes","Polybag w/logo","50","350","370"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW19588","Dove Swim Vest","1232","Peach / Sea shell","5715493369767","19-30 KG","2","EUR","20","40","50","EUR","LIEWOOD","LIEWOOD LIVING","PLAY TIME","PLAY TIME","SWIM VEST","82% Polyester, 18% Spandex","0.28","","China","9506290000","January 2026","Hand wash","Wash with similar colours;Close zipper, velcro and buttons before washing;Hang dry;","","Do not iron ","Do not tumble dry ","Do not dry clean","Do Not Bleach","","UNISEX","N/A","","","","Yes","Yes","Polybag w/logo","50","370","390"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW19588","Dove Swim Vest","1232","Peach / Sea shell","5715493369743","11-15 KG","2","EUR","20","40","50","EUR","LIEWOOD","LIEWOOD LIVING","PLAY TIME","PLAY TIME","SWIM VEST","82% Polyester, 18% Spandex","0.22","","China","9506290000","January 2026","Hand wash","Wash with similar colours;Close zipper, velcro and buttons before washing;Hang dry;","","Do not iron ","Do not tumble dry ","Do not dry clean","Do Not Bleach","","UNISEX","N/A","","","","Yes","Yes","Polybag w/logo","50","330","350"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW19588","Dove Swim Vest","2619","Shark / Dove blue","5715493530983","11-15 KG","2","EUR","20","40","50","EUR","LIEWOOD","LIEWOOD LIVING","PLAY TIME","PLAY TIME","SWIM VEST","82% Polyester, 18% Spandex","0.228","","China","9506290000","February 2026","Hand wash","Wash with similar colours;Close zipper, velcro and buttons before washing;Hang dry;","","Do not iron ","Do not tumble dry ","Do not dry clean","Do Not Bleach","","UNISEX","N/A","","","","Yes","Yes","Polybag w/logo","45","315","270"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW19588","Dove Swim Vest","2619","Shark / Dove blue","5715493530990","15-19 KG","2","EUR","20","40","50","EUR","LIEWOOD","LIEWOOD LIVING","PLAY TIME","PLAY TIME","SWIM VEST","82% Polyester, 18% Spandex","0.254","","China","9506290000","February 2026","Hand wash","Wash with similar colours;Close zipper, velcro and buttons before washing;Hang dry;","","Do not iron ","Do not tumble dry ","Do not dry clean","Do Not Bleach","","UNISEX","N/A","","","","Yes","Yes","Polybag w/logo","60","330","295"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW19588","Dove Swim Vest","2619","Shark / Dove blue","5715493531003","19-30 KG","2","EUR","20","40","50","EUR","LIEWOOD","LIEWOOD LIVING","PLAY TIME","PLAY TIME","SWIM VEST","82% Polyester, 18% Spandex","0.28","","China","9506290000","February 2026","Hand wash","Wash with similar colours;Close zipper, velcro and buttons before washing;Hang dry;","","Do not iron ","Do not tumble dry ","Do not dry clean","Do Not Bleach","","UNISEX","N/A","","","","Yes","Yes","Polybag w/logo","55","350","310"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW19659","Milas Sandals","1064","Whale blue mix","5715493419745","29","1","EUR","12","12","30","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","Charms: 79% SEBS, 21% PVC; UPPER: 100% EVA; PADDING: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.26","","China","6402200000","January 2026","","","","","","","","","UNISEX","3y+","","","","No","No","Polybag w/logo","86.5","204","84.4"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW19659","Milas Sandals","1064","Whale blue mix","5715493419752","30","1","EUR","12","12","30","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","Charms: 79% SEBS, 21% PVC; UPPER: 100% EVA; PADDING: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.28","","China","6402200000","January 2026","","","","","","","","","UNISEX","3y+","","","","No","No","Polybag w/logo","88","210","86.3"
